CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,LC50
1.961,0.134,1.215,0,0.0,0.548,2.567
2.778,0.83,1.046,0,0.0,3.562,6.652
3.896,0.134,1.984,0,0.0,2.591,3.45
2.67,0.496,2.047,0,0.0,-0.917,1.842
2.189,1.586,2.0,0,0.0,3.291,5.242
2.857,1.421,2.282,0,0.0,2.357,4.295
2.439,0.93,0.924,0,0.0,1.748,5.007
3.014,0.56,1.781,0,0.0,-0.115,0.898
2.508,0.58,0.941,0,0.0,1.701,3.345
2.726,0.496,1.179,0,1.0,1.06,3.661
3.378,1.38,1.25,0,0.0,1.654,5.933
2.283,1.07,1.223,0,0.0,1.112,4.278
3.888,0.693,0.978,0,2.0,4.633,6.6
3.618,0.842,1.686,0,2.0,1.661,5.184
2.251,0.638,0.871,0,0.0,1.61,4.175
2.094,0.827,0.86,0,0.0,1.886,5.449
2.386,0.223,0.857,0,0.0,1.506,3.513
2.495,0.56,0.835,0,1.0,1.643,1.969
2.0,0.693,1.128,0,2.0,-0.45,4.366
2.377,0.827,0.938,0,0.0,2.239,5.146
2.215,0.887,0.888,0,0.0,1.395,4.084
1.925,1.16,0.801,0,0.0,3.314,5.192
3.41,0.223,1.278,0,2.0,1.947,2.737
3.001,0.134,2.458,0,0.0,-1.5829999999999997,2.375
4.255,1.695,1.087,0,0.0,2.294,4.475
2.98,0.251,2.261,0,0.0,-0.063,1.639
3.641,1.192,1.481,0,1.0,3.16,5.052
2.594,0.251,1.287,0,0.0,0.454,1.749
3.69,1.159,1.295,0,2.0,4.449,5.749
2.26,1.443,0.902,0,0.0,4.926,6.006
2.47,1.437,1.346,0,2.0,1.821,6.351
3.593,1.236,1.166,0,0.0,4.268,7.607
3.578,0.496,1.406,0,1.0,2.391,4.32
1.786,0.702,1.081,0,0.0,-1.265,8.132
2.512,0.134,0.862,0,0.0,1.506,3.078
3.407,0.0,1.111,0,0.0,3.259,4.192
4.288,0.865,1.327,0,0.0,4.295,5.642
2.748,0.223,2.048,0,0.0,0.8,1.462
2.126,1.278,0.896,0,0.0,4.634,5.815
3.749,0.331,1.278,0,0.0,2.773,4.777
3.38,0.874,0.903,0,1.0,3.184,5.278
1.822,0.829,0.834,0,0.0,2.509,3.933
2.119,0.923,1.179,0,1.0,0.982,1.05
2.508,0.58,0.941,0,0.0,1.701,3.766
4.785,1.263,1.471,0,2.5,2.749,9.612
2.71,0.93,0.724,0,0.0,2.526,4.838
2.08,0.891,0.816,0,0.0,2.729,4.41
3.179,0.0,1.063,0,0.0,2.942,3.811
2.778,0.405,1.17,0,0.0,1.49,2.93
4.413,0.56,1.17,0,2.0,3.906,7.899
1.951,0.405,1.878,0,0.0,-1.053,0.053
3.609,0.811,1.208,0,0.0,3.291,4.469
0.965,0.64,1.695,0,1.0,0.202,3.272
2.938,1.385,1.225,0,2.0,1.02,4.593
3.867,0.0,1.4,0,0.0,3.659,5.678
2.572,1.834,1.35,0,2.0,3.115,8.471
2.802,0.223,1.6,0,0.0,1.064,3.825
3.739,0.0,1.25,0,2.0,3.267,2.149
2.568,0.389,1.012,0,0.0,2.296,3.513
1.279,1.16,1.714,0,0.0,1.209,2.936
1.855,1.067,1.244,0,0.0,1.587,3.487
2.079,0.988,0.836,0,1.0,2.481,2.608
3.111,0.732,0.923,0,0.0,4.068,5.643
3.684,1.275,1.072,0,1.0,4.764,7.691
4.258,0.223,1.538,0,1.0,4.506,5.741
3.898,0.887,1.45,0,0.0,4.066,5.999
1.634,0.798,1.093,0,0.0,0.68,2.569
2.065,1.062,0.852,0,0.0,2.463,4.399
3.219,0.811,1.127,0,0.0,2.604,4.759
3.509,0.854,1.478,0,0.0,2.248,2.832
3.023,0.56,1.349,0,0.0,1.239,3.917
3.709,1.371,1.478,0,1.0,3.909,5.568
2.456,0.64,0.937,0,0.0,2.461,4.286
4.073,0.693,1.171,0,2.0,4.091,5.224
2.526,0.713,1.201,0,0.0,2.213,3.561
2.862,1.031,1.828,0,2.5,-0.463,4.512
3.669,0.223,1.599,0,0.0,3.186,3.984
4.085,0.134,1.482,0,0.0,4.234,5.63
2.96,0.88,1.53,0,1.0,0.787,5.244
2.585,1.586,0.917,0,0.0,5.207,6.379
3.164,0.223,0.909,0,0.0,2.455,3.112
1.094,1.236,1.461,0,1.0,0.996,1.911
3.252,0.223,1.077,0,0.0,2.51,4.22
3.526,0.711,1.596,0,2.5,0.757,3.423
2.685,0.405,1.145,0,0.0,1.246,3.11
2.396,1.593,1.351,0,0.0,3.32,6.023
3.477,0.693,1.344,0,2.0,2.577,4.116
3.277,0.223,1.633,0,0.0,1.587,2.98
2.019,1.317,0.77,0,0.0,3.617,5.93
3.605,0.0,1.15,0,0.0,3.562,4.51
2.634,0.223,1.298,0,0.0,0.943,3.131
3.323,0.405,1.17,0,2.0,2.592,4.577
3.596,0.972,0.941,0,1.0,4.179,4.828
3.421,0.58,1.7,0,1.0,1.57,5.029
2.971,0.972,1.255,0,2.0,2.052,4.565
3.645,0.223,1.155,0,0.0,3.105,5.178
3.171,0.134,1.011,0,0.0,2.186,3.984
3.528,1.74,1.288,0,0.0,0.626,5.466
3.196,1.38,1.234,0,0.0,1.321,6.018
2.122,1.621,1.511,0,0.0,2.64,5.677
2.479,0.887,0.954,0,0.0,1.748,5.341
3.652,0.872,0.867,0,2.5,3.983,4.04
3.113,1.593,1.319,0,1.0,4.038,6.143
3.921,0.251,1.398,0,0.0,1.622,3.416
2.11,0.773,0.773,0,1.0,2.57,3.36
2.111,1.477,1.298,0,0.0,3.225,5.73
3.485,0.223,1.614,0,0.0,1.94,3.507
1.523,1.028,1.512,0,1.0,0.996,2.693
3.351,0.797,2.456,0,0.0,-0.197,3.903
3.08,0.223,1.583,0,1.0,1.442,2.271
2.565,0.452,1.529,0,0.0,0.242,2.115
4.135,0.58,1.263,0,2.0,2.904,5.538
2.755,0.83,1.656,0,0.0,2.957,3.746
3.351,0.496,1.466,0,0.0,1.097,2.392
3.177,0.629,0.871,0,0.0,3.315,3.365
3.08,0.827,1.079,0,0.0,1.155,5.478
4.395,0.134,1.546,0,0.0,4.651,6.484
4.532,0.405,1.189,0,2.5,4.639,5.307
2.08,0.496,0.858,0,0.0,1.887,3.022
2.126,0.83,1.455,0,1.0,2.459,5.82
2.251,1.501,1.197,0,0.0,4.19,5.632
3.675,1.718,1.248,0,0.0,3.167,4.136
3.896,0.134,1.571,0,0.0,3.503,4.822
2.019,1.126,0.793,0,0.0,3.314,4.737
2.982,0.496,1.151,0,1.0,1.783,3.522
3.314,0.331,1.397,0,0.0,2.048,4.473
3.52,0.223,1.59,0,0.0,1.882,2.883
3.993,0.223,1.214,0,0.0,3.563,4.611
2.137,0.223,1.179,0,0.0,0.655,3.779
3.332,0.134,1.519,0,0.0,2.242,3.554
3.641,0.405,1.531,0,1.0,3.289,3.182
1.962,0.934,0.819,0,0.0,2.729,4.296
3.828,1.259,0.966,0,2.0,4.279,8.604
1.883,0.916,1.207,0,1.0,1.188,1.153
3.252,0.223,1.077,0,0.0,2.51,4.02
3.035,0.223,1.662,0,0.0,1.209,2.217
1.251,0.251,1.126,0,0.0,-0.786,5.072
2.454,1.075,0.951,0,0.0,2.359,4.96
2.086,1.501,0.766,0,0.0,3.909,6.093
3.26,0.405,0.921,0,0.0,2.782,4.578
3.24,0.693,1.487,0,0.0,1.002,3.598
2.085,0.56,2.451,0,0.0,-0.544,1.18
2.137,0.223,1.375,0,0.0,0.548,4.865
3.376,1.278,0.915,0,0.0,5.849,4.862
2.423,0.949,1.15,0,0.0,1.94,2.44
2.344,0.582,1.59,0,0.0,1.467,3.109
2.765,0.331,0.951,0,1.0,1.49,2.55
3.361,0.223,1.437,0,2.0,2.021,3.168
3.026,0.405,1.548,0,1.0,1.373,2.84
2.834,0.134,0.95,0,0.0,1.859,2.827
2.366,0.405,2.458,0,0.0,-0.128,1.037
2.755,0.405,1.844,0,1.0,0.996,3.231
3.311,0.56,0.927,0,1.0,3.461,5.276
3.155,0.638,2.128,0,0.0,-0.937,1.102
1.751,0.629,1.483,0,0.0,-0.317,0.361
1.333,0.754,1.148,0,1.0,-0.386,3.487
3.143,0.134,1.641,0,0.0,1.209,2.264
3.462,0.405,1.717,0,1.0,2.06,4.557
3.073,0.693,1.438,0,2.0,0.787,1.055
2.233,0.64,0.92,0,0.0,2.37,4.805
3.065,1.079,0.825,0,0.0,5.472,6.882
2.238,1.513,2.078,0,0.0,0.489,4.513
2.429,0.405,1.954,0,0.0,-0.473,0.931
2.442,1.211,2.254,0,0.0,1.401,4.305
3.557,0.331,1.301,0,1.0,2.209,4.711
4.461,0.405,1.139,0,1.0,4.548,4.727
3.286,0.357,2.104,0,0.0,-0.521,1.771
3.566,0.134,1.595,0,0.0,1.94,3.719
3.734,0.223,1.45,0,1.0,2.642,3.84
3.159,0.965,1.584,0,2.0,1.121,3.77
1.429,0.223,1.804,0,0.0,-0.564,2.72
2.726,0.496,1.179,0,1.0,1.06,2.269
3.957,0.223,1.269,0,2.5,2.998,4.577
3.353,0.405,1.418,0,1.0,1.878,5.018
1.778,0.223,1.203,0,0.0,0.156,3.048
2.878,0.134,1.684,0,0.0,0.8,2.436
2.971,0.859,2.162,0,0.0,2.273,4.499
4.057,1.032,1.183,0,2.5,4.754,8.201
3.332,0.134,1.294,0,0.0,2.51,3.436
3.235,1.131,0.996,0,0.0,2.723,5.354
2.33,0.932,0.931,0,1.0,2.529,4.559
2.834,0.134,1.237,0,0.0,1.859,3.03
3.035,0.223,1.941,0,0.0,1.209,2.107
2.961,0.405,1.189,0,0.0,1.312,2.604
1.925,1.364,0.421,0,0.0,4.19,5.591
3.252,0.223,1.077,0,0.0,2.51,4.093
2.507,0.405,1.5,0,2.0,0.076,2.851
2.462,0.223,1.625,0,1.0,0.655,1.352
2.092,1.359,2.273,0,1.0,1.246,4.796
2.855,1.331,1.325,0,2.0,0.454,7.045
3.179,0.0,1.063,0,0.0,2.942,3.822
2.479,0.887,0.954,0,0.0,1.748,4.181
3.738,1.131,1.584,0,2.0,2.558,4.422
3.734,0.223,1.374,0,0.0,3.661,5.159
3.337,1.443,0.913,0,0.0,5.849,7.429
1.439,1.079,1.867,0,0.0,2.226,3.213
2.034,0.64,1.727,0,0.0,0.8,2.586
3.461,0.223,1.111,0,1.0,2.357,3.393
2.479,0.887,0.954,0,0.0,1.748,4.912
2.834,0.134,1.322,0,0.0,1.199,2.413
2.019,1.317,1.288,0,0.0,2.689,4.368
2.728,0.134,0.923,0,0.0,2.102,3.42
2.477,0.405,0.876,0,1.0,1.7,2.474
2.647,1.286,1.278,0,0.0,1.602,4.508
2.377,1.278,0.974,0,0.0,4.658,5.372
3.98,0.223,1.578,0,0.0,3.806,4.819
2.085,1.079,0.895,0,0.0,4.063,4.74
2.183,0.93,0.846,0,0.0,1.395,4.739
2.215,0.887,0.888,0,0.0,1.395,4.33
2.377,0.331,2.111,0,0.0,-0.534,2.156
3.023,0.56,1.168,0,0.0,1.239,3.278
3.046,0.0,1.333,0,2.0,2.352,4.075
2.937,0.499,0.8,0,0.0,3.945,4.849
2.08,0.764,0.788,0,0.0,1.514,4.961
3.316,0.223,1.571,0,0.0,1.795,3.979
2.802,0.223,1.6,0,0.0,1.064,3.937
3.219,0.811,1.151,0,0.0,2.604,3.397
1.855,1.179,1.44,0,0.0,1.587,2.838
3.175,0.859,2.095,0,0.0,2.59,4.095
2.019,1.126,0.793,0,0.0,3.314,5.001
1.883,0.711,1.162,0,0.0,0.602,2.924
3.044,1.028,0.959,0,0.0,3.762,5.95
1.886,1.153,0.523,0,0.0,2.938,4.737
2.448,0.638,0.921,0,0.0,1.701,3.513
4.536,0.223,1.29,0,0.0,4.907,6.634
2.183,0.93,0.846,0,0.0,1.395,4.224
2.252,1.075,0.885,0,0.0,2.005,5.303
3.103,0.134,1.344,0,0.0,1.533,3.174
4.717,0.223,1.288,0,1.0,4.804,6.384
1.945,0.889,0.835,0,0.0,1.969,3.927
3.436,1.225,1.839,0,0.0,2.054,5.087
2.435,1.113,1.109,0,1.0,2.354,2.839
2.26,0.499,0.907,0,0.0,2.876,3.645
2.841,0.88,1.705,0,2.5,0.226,1.647
1.92,1.079,1.738,0,0.0,2.604,3.408
3.08,0.223,1.583,0,1.0,1.442,3.061
1.783,0.57,1.187,0,0.0,2.033,6.064
1.733,1.077,0.81,0,0.0,3.11,4.63
2.034,0.331,2.458,0,0.0,-0.273,0.841
3.739,0.0,1.204,0,1.0,3.374,5.434
2.777,0.56,1.127,0,0.0,0.922,3.118
4.171,0.693,1.678,0,2.0,2.849,4.976
2.748,0.223,1.705,0,0.0,0.8,1.063
2.707,0.972,1.889,0,2.5,-1.169,2.976
3.514,0.0,1.375,0,2.0,3.038,4.465
3.485,0.223,1.614,0,0.0,1.94,2.853
1.818,0.134,1.445,0,0.0,0.202,1.559
1.946,0.223,1.929,0,0.0,-0.172,0.534
2.126,0.251,1.114,0,0.0,0.143,2.157
2.834,0.134,0.95,0,0.0,1.859,3.12
2.396,0.223,1.778,0,0.0,0.347,0.778
2.534,0.872,1.619,0,0.0,-1.186,2.732
3.465,0.0,0.963,0,0.0,3.267,3.407
2.019,1.126,0.793,0,0.0,3.314,4.73
3.776,0.405,0.92,0,0.0,3.306,4.691
3.177,0.918,1.919,0,0.0,2.031,4.116
3.049,0.762,1.258,0,2.0,1.996,4.369
3.369,0.134,1.614,0,0.0,1.587,2.226
2.866,0.223,1.288,0,0.0,1.442,1.906
2.217,0.845,0.793,0,0.0,2.429,5.189
3.369,0.134,1.614,0,0.0,1.587,3.252
2.309,0.907,0.871,0,0.0,3.046,3.775
2.448,0.638,1.121,0,0.0,1.701,2.904
1.634,0.713,1.19,0,0.0,1.313,2.782
1.844,1.275,0.804,0,0.0,3.109,6.72
3.874,0.638,1.352,0,1.0,2.575,4.561
3.532,0.134,1.11,0,0.0,2.813,4.165
3.814,0.331,1.225,0,1.0,3.345,3.698
3.08,0.223,1.583,0,1.0,1.442,2.369
3.383,1.408,0.892,0,0.0,4.804,5.44
3.461,0.223,1.12,0,0.0,2.813,4.47
3.788,0.693,1.365,0,2.0,2.576,4.664
2.819,0.331,1.271,0,1.0,0.981,2.736
1.639,0.83,1.445,0,0.0,2.081,5.05
3.98,0.223,1.723,0,0.0,2.894,4.703
3.423,1.19,1.993,0,2.5,-1.358,3.689
1.831,1.182,1.901,0,2.0,0.158,1.234
3.641,0.331,1.933,0,0.0,1.971,3.246
1.832,1.209,1.364,0,0.0,-0.792,3.828
4.268,0.916,1.19,0,2.0,1.936,7.849
3.332,0.134,1.519,0,0.0,2.51,3.415
1.634,0.713,1.19,0,0.0,1.313,2.056
2.118,0.934,0.913,0,0.0,2.956,4.988
2.216,0.582,0.839,0,0.0,2.127,4.353
3.819,0.615,0.864,0,0.0,4.878,3.715
4.191,0.762,2.195,0,0.0,1.239,2.618
1.0,0.405,1.5,0,0.0,-1.306,2.381
2.928,1.113,1.185,0,1.0,2.927,4.141
2.11,0.58,0.805,0,0.0,1.61,3.391
3.079,0.429,2.135,0,0.0,-0.521,1.308
2.456,0.331,1.259,0,1.0,0.496,2.858
2.125,0.638,0.831,0,0.0,1.348,2.939
2.824,0.223,1.0,0,1.0,2.102,2.87
2.304,1.028,1.124,0,0.0,2.433,4.635
2.868,1.286,1.294,0,0.0,1.919,4.809
3.029,0.331,1.847,0,0.0,0.314,2.474
2.126,0.405,1.127,0,0.0,-0.226,3.206
1.636,0.64,1.695,0,0.0,0.408,3.861
4.532,0.405,1.189,0,2.5,4.639,5.104
2.43,0.496,0.946,0,0.0,2.241,3.66
3.012,0.223,0.76,0,0.0,2.637,4.62
2.479,0.887,0.954,0,0.0,1.748,4.458
2.987,1.076,0.921,0,1.0,3.318,6.077
3.739,0.0,1.204,0,1.0,3.374,5.689
1.977,1.112,0.881,0,0.0,2.37,4.798
3.611,0.331,2.017,0,0.0,1.393,2.859
2.508,0.58,0.941,0,0.0,1.701,3.789
2.024,0.405,1.605,0,1.0,0.133,1.307
2.125,0.638,0.831,0,0.0,1.348,3.531
3.74,0.134,1.581,0,0.0,2.274,4.396
3.087,0.223,0.96,0,0.0,2.42,3.979
3.739,0.0,0.7,0,0.0,4.76,7.346
2.375,1.026,1.09,0,1.0,2.553,3.895
1.634,0.713,1.19,0,0.0,0.501,2.319
2.482,1.303,1.415,0,0.0,0.575,4.919
2.359,0.405,0.814,0,0.0,0.893,3.314
